ablation	scenario	baseline_decision	ablation_decision	baseline_code	ablation_code	decision_changed	code_changed
policy-off	DEV-4	REJECTED	REJECTED	RECEIVER_PROFILE_MISMATCH	RECEIVER_PROFILE_MISMATCH	false	false
policy-off	DEV-5	REJECTED	ACCEPTED	POLICY_PURPOSE_DISALLOWED	NONE	true	true
policy-off	DEV-6	REJECTED	REJECTED	PROPERTY_AUTHORISATION_FAILURE	PROPERTY_AUTHORISATION_FAILURE	false	false
policy-off	DEV-7	REJECTED	REJECTED	CI_INFORMATION_TYPE_DISALLOWED	CI_INFORMATION_TYPE_DISALLOWED	false	false
property-auth-off	BANK-BASE	ACCEPTED	ACCEPTED	NONE	NONE	false	false
property-auth-off	CROSS-BASE	ACCEPTED	ACCEPTED	NONE	NONE	false	false
property-auth-off	DEV-1	REJECTED	REJECTED	RAW_IDENTIFIER_LEAKAGE	RAW_IDENTIFIER_LEAKAGE	false	false
property-auth-off	DEV-2	REJECTED	REJECTED	CI_INFORMATION_TYPE_DISALLOWED	CI_INFORMATION_TYPE_DISALLOWED	false	false
property-auth-off	DEV-3A	REJECTED	REJECTED	UNSUPPORTED_SCHEMA_VERSION	UNSUPPORTED_SCHEMA_VERSION	false	false
property-auth-off	DEV-3B	REJECTED	REJECTED	UNDECLARED_FIELD	UNDECLARED_FIELD	false	false
property-auth-off	DEV-4	REJECTED	REJECTED	RECEIVER_PROFILE_MISMATCH	RECEIVER_PROFILE_MISMATCH	false	false
property-auth-off	DEV-5	REJECTED	REJECTED	POLICY_PURPOSE_DISALLOWED	POLICY_PURPOSE_DISALLOWED	false	false
property-auth-off	DEV-6	REJECTED	ACCEPTED	PROPERTY_AUTHORISATION_FAILURE	NONE	true	true
property-auth-off	DEV-7	REJECTED	REJECTED	CI_INFORMATION_TYPE_DISALLOWED	CI_INFORMATION_TYPE_DISALLOWED	false	false
raw-identifier-off	BANK-BASE	ACCEPTED	ACCEPTED	NONE	NONE	false	false
raw-identifier-off	CROSS-BASE	ACCEPTED	ACCEPTED	NONE	NONE	false	false
raw-identifier-off	DEV-1	REJECTED	REJECTED	RAW_IDENTIFIER_LEAKAGE	PROPERTY_AUTHORISATION_FAILURE	false	true
raw-identifier-off	DEV-2	REJECTED	REJECTED	CI_INFORMATION_TYPE_DISALLOWED	CI_INFORMATION_TYPE_DISALLOWED	false	false
raw-identifier-off	DEV-3A	REJECTED	REJECTED	UNSUPPORTED_SCHEMA_VERSION	UNSUPPORTED_SCHEMA_VERSION	false	false
raw-identifier-off	DEV-3B	REJECTED	REJECTED	UNDECLARED_FIELD	UNDECLARED_FIELD	false	false
raw-identifier-off	DEV-4	REJECTED	REJECTED	RECEIVER_PROFILE_MISMATCH	RECEIVER_PROFILE_MISMATCH	false	false
raw-identifier-off	DEV-5	REJECTED	REJECTED	POLICY_PURPOSE_DISALLOWED	POLICY_PURPOSE_DISALLOWED	false	false
raw-identifier-off	DEV-6	REJECTED	REJECTED	PROPERTY_AUTHORISATION_FAILURE	PROPERTY_AUTHORISATION_FAILURE	false	false
raw-identifier-off	DEV-7	REJECTED	REJECTED	CI_INFORMATION_TYPE_DISALLOWED	CI_INFORMATION_TYPE_DISALLOWED	false	false
schema-version-off	BANK-BASE	ACCEPTED	ACCEPTED	NONE	NONE	false	false
schema-version-off	CROSS-BASE	ACCEPTED	ACCEPTED	NONE	NONE	false	false
schema-version-off	DEV-1	REJECTED	REJECTED	RAW_IDENTIFIER_LEAKAGE	RAW_IDENTIFIER_LEAKAGE	false	false
schema-version-off	DEV-2	REJECTED	REJECTED	CI_INFORMATION_TYPE_DISALLOWED	CI_INFORMATION_TYPE_DISALLOWED	false	false
schema-version-off	DEV-3A	REJECTED	ACCEPTED	UNSUPPORTED_SCHEMA_VERSION	NONE	true	true
schema-version-off	DEV-3B	REJECTED	REJECTED	UNDECLARED_FIELD	UNDECLARED_FIELD	false	false
schema-version-off	DEV-4	REJECTED	REJECTED	RECEIVER_PROFILE_MISMATCH	RECEIVER_PROFILE_MISMATCH	false	false
schema-version-off	DEV-5	REJECTED	REJECTED	POLICY_PURPOSE_DISALLOWED	POLICY_PURPOSE_DISALLOWED	false	false
schema-version-off	DEV-6	REJECTED	REJECTED	PROPERTY_AUTHORISATION_FAILURE	PROPERTY_AUTHORISATION_FAILURE	false	false
schema-version-off	DEV-7	REJECTED	REJECTED	CI_INFORMATION_TYPE_DISALLOWED	CI_INFORMATION_TYPE_DISALLOWED	false	false
